,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
83,DBRG,"DigitalBridge Group, Inc.",3.00B,0.49%,373441,821.38M
84,SITC,SITE Centers Corp.,3.00B,0.04%,602557,546.28M
85,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.97B,-1.09%,239634,319.87M
86,BNL,"Broadstone Net Lease, Inc.",2.82B,0.27%,2240962,442.89M
87,CDP,COPT Defense Properties,2.80B,0.53%,573593,684.98M
88,ESRT,"Empire State Realty Trust, Inc.",2.79B,1.07%,309762,739.57M
89,IIPR,"Innovative Industrial Properties, Inc.",2.77B,-0.01%,107147,309.51M
90,DEI,"Douglas Emmett, Inc.",2.72B,0.70%,486912,1.02B
91,LXP,LXP Industrial Trust,2.69B,0.22%,886107,340.50M
92,OUT,Outfront Media Inc.,2.67B,0.31%,958744,1.82B
93,HIW,"Highwoods Properties, Inc.",2.66B,1.54%,310332,834.00M
94,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,1.97%,101941,214.50M
95,ESBA,"Empire State Realty OP, L.P.",2.60B,1.59%,8835,739.57M
96,NHI,"National Health Investors, Inc.",2.59B,0.83%,128480,319.84M
97,NMRK,"Newmark Group, Inc.",2.57B,-0.05%,225906,2.47B
98,MPW,"Medical Properties Trust, Inc.",2.55B,4.46%,8059565,871.80M
99,ABR,"Arbor Realty Trust, Inc.",2.42B,0.08%,1739140,721.01M
100,SHO,"Sunstone Hotel Investors, Inc.",2.29B,-0.53%,925968,986.48M
101,FCPT,"Four Corners Property Trust, Inc.",2.22B,-0.58%,186318,250.61M
102,CWK,Cushman & Wakefield plc,2.22B,0.87%,384433,9.49B
103,UE,Urban Edge Properties,2.13B,-0.18%,373418,416.92M
104,EQC,Equity Commonwealth,2.06B,2.00%,657420,60.52M
105,DRH,DiamondRock Hospitality Company,2.01B,-0.89%,370226,1.07B
106,OPEN,Opendoor Technologies Inc.,1.96B,1.40%,11162102,6.95B
107,PEB,Pebblebrook Hotel Trust,1.94B,-0.31%,458499,1.42B
108,EXPI,"eXp World Holdings, Inc.",1.91B,-0.61%,342320,4.28B
109,AKR,Acadia Realty Trust,1.86B,0.39%,248120,338.69M
110,FOR,Forestar Group Inc.,1.83B,1.77%,331425,1.53B
111,GNL,"Global Net Lease, Inc.",1.77B,-1.31%,732846,515.07M
112,IVT,InvenTrust Properties Corp.,1.71B,-0.08%,75122,258.68M
113,CXW,"CoreCivic, Inc.",1.65B,1.91%,391542,1.90B
114,ROIC,Retail Opportunity Investments Corp.,1.64B,0.77%,226941,327.73M
115,AAT,"American Assets Trust, Inc.",1.64B,-0.21%,74930,441.16M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.60B,-0.56%,536918,1.03B
117,NXRT,"NexPoint Residential Trust, Inc.",1.58B,0.46%,103390,277.53M
118,JBGS,JBG SMITH Properties,1.58B,0.55%,287515,604.20M
119,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.56B,1.91%,346343,344.59M
120,RC,Ready Capital Corporation,1.54B,1.36%,440590,630.58M
121,VRE,"Veris Residential, Inc.",1.50B,0.07%,136273,279.86M
122,UNIT,Uniti Group Inc.,1.48B,1.61%,555943,1.15B
123,GTY,Getty Realty Corp.,1.47B,-0.15%,58907,186.42M
124,SAFE,Safehold Inc.,1.45B,0.05%,70120,352.58M
125,LADR,Ladder Capital Corp,1.40B,-0.50%,221410,264.21M
126,LTC,"LTC Properties, Inc.",1.39B,0.56%,90470,197.24M
127,CMTG,"Claros Mortgage Trust, Inc.",1.35B,-1.33%,108266,306.55M
128,TWO,Two Harbors Investment Corp.,1.34B,0.58%,974017,31.79M
129,BFS,"Saul Centers, Inc.",1.31B,-0.51%,7453,257.21M
130,MMI,"Marcus & Millichap, Inc.",1.29B,0.31%,160518,645.93M
131,NTST,NETSTREIT Corp.,1.28B,-0.55%,605342,131.91M
132,PMT,PennyMac Mortgage Investment Trust,1.24B,0.73%,151338,429.02M
133,DEA,"Easterly Government Properties, Inc.",1.20B,-0.04%,315265,287.23M
134,ALEX,"Alexander & Baldwin, Inc.",1.20B,0.24%,117036,208.90M
135,ELME,Elme Communities,1.19B,-0.74%,187033,227.91M
136,MFA,"MFA Financial, Inc.",1.16B,0.35%,193820,248.45M
137,AHR,"American Healthcare REIT, Inc.",1.16B,-0.18%,213922,1.84B
138,KW,"Kennedy-Wilson Holdings, Inc.",1.15B,1.58%,769696,562.60M
139,UMH,"UMH Properties, Inc.",1.13B,-1.14%,223809,220.93M
140,AIV,Apartment Investment and Management Company,1.10B,0.73%,471708,187.00M
141,ALX,"Alexander's, Inc.",1.10B,-0.78%,2771,224.96M
142,PGRE,"Paramount Group, Inc.",1.10B,0.54%,1236567,742.79M
143,CIM,Chimera Investment Corporation,1.10B,0.66%,699550,252.64M
144,FBRT,"Franklin BSP Realty Trust, Inc.",1.07B,0.69%,149918,263.95M
145,SVC,Service Properties Trust,1.06B,2.51%,628715,1.87B
146,PLYM,"Plymouth Industrial REIT, Inc.",996.80M,-0.30%,113368,199.85M
147,EFC,Ellington Financial Inc.,988.49M,0.91%,430197,276.92M
148,ARR,"ARMOUR Residential REIT, Inc.",963.78M,0.66%,917655,-86.22M
149,HPP,"Hudson Pacific Properties, Inc.",962.82M,1.44%,639655,952.30M
150,AHH,"Armada Hoffler Properties, Inc.",931.96M,0.09%,319424,667.16M
151,BRSP,"BrightSpire Capital, Inc.",895.60M,0.44%,233887,232.72M
152,CSR,Centerspace,894.85M,1.42%,36147,261.31M
153,RDFN,Redfin Corporation,844.23M,1.62%,2113608,976.67M
154,RWT,"Redwood Trust, Inc.",809.20M,0.73%,986036,165.63M
155,PDM,"Piedmont Office Realty Trust, Inc.",791.09M,0.94%,147143,577.76M
156,BDN,Brandywine Realty Trust,772.23M,1.70%,408928,514.65M
157,CHCT,Community Healthcare Trust Incorporated,744.62M,-0.11%,43914,112.85M
158,DX,"Dynex Capital, Inc.",741.76M,0.51%,755779,26.75M
159,CBL,"CBL & Associates Properties, Inc.",733.57M,-,63121,535.29M
