,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,FCNCA,"First Citizens BancShares, Inc.",22.33B,-0.33%,36150,17.41B
85,STT,State Street Corporation,22.18B,0.86%,638923,11.95B
86,WRB,W. R. Berkley Corporation,21.97B,-0.25%,292337,12.14B
87,ERIE,Erie Indemnity Company,21.36B,-0.08%,49234,3.27B
88,LPLA,LPL Financial Holdings Inc.,19.75B,-0.25%,185287,10.05B
89,MKL,Markel Corporation,19.65B,-0.06%,18365,15.80B
90,HBAN,Huntington Bancshares Incorporated,19.57B,0.04%,11293001,6.96B
91,CBOE,"Cboe Global Markets, Inc.",19.18B,0.75%,485730,3.77B
92,PFG,"Principal Financial Group, Inc.",18.82B,1.17%,584579,13.67B
93,CINF,Cincinnati Financial Corporation,18.54B,0.89%,295585,10.01B
94,FDS,FactSet Research Systems Inc.,18.29B,0.65%,103998,2.12B
95,NMR,"Nomura Holdings, Inc.",18.28B,-,1671299,10.09B
96,SHG,"Shinhan Financial Group Co., Ltd.",17.90B,3.67%,56682,7.06B
97,RF,Regions Financial Corporation,17.79B,0.41%,3274949,7.02B
98,SYF,Synchrony Financial,17.49B,0.85%,1529348,7.66B
99,CG,The Carlyle Group Inc.,16.94B,-0.57%,1033755,2.96B
100,L,Loews Corporation,16.93B,-0.22%,285342,15.90B
101,EG,"Everest Group, Ltd.",16.64B,0.48%,118547,14.59B
102,NTRS,Northern Trust Corporation,16.51B,0.67%,404518,6.75B
103,BAM,Brookfield Asset Management Inc.,16.48B,-0.12%,291709,4.05B
104,TPG,TPG Inc.,16.29B,0.69%,205787,2.39B
105,CRBG,"Corebridge Financial, Inc.",15.58B,-0.82%,3003639,18.88B
106,CFG,"Citizens Financial Group, Inc.",15.51B,0.78%,1750664,7.54B
107,BEN,"Franklin Resources, Inc.",14.66B,0.23%,1740419,7.87B
108,XP,XP Inc.,14.16B,1.43%,10965799,3.05B
109,RYAN,"Ryan Specialty Holdings, Inc.",14.11B,0.83%,313391,2.08B
110,FNF,"Fidelity National Financial, Inc.",13.86B,1.10%,615898,11.75B
111,BAP,Credicorp Ltd.,13.84B,0.26%,85209,3.90B
112,KEY,KeyCorp,13.83B,1.11%,6945330,5.89B
113,MORN,"Morningstar, Inc.",13.34B,-0.08%,47029,2.04B
114,ARCC,Ares Capital Corporation,12.58B,0.39%,2881737,2.61B
115,RNR,RenaissanceRe Holdings Ltd.,12.44B,0.33%,82306,9.13B
116,RGA,"Reinsurance Group of America, Incorporated",12.14B,0.44%,77413,18.57B
117,CNA,CNA Financial Corporation,12.02B,-0.80%,173280,13.30B
118,BCH,Banco de Chile,11.88B,1.67%,147559,3.21B
119,KNSL,"Kinsale Capital Group, Inc.",11.87B,0.41%,57050,1.22B
120,GL,Globe Life Inc.,11.65B,-2.50%,666083,5.45B
121,ALLY,Ally Financial Inc.,11.48B,0.30%,1511799,8.21B
122,EQH,"Equitable Holdings, Inc.",11.42B,1.47%,1260817,10.53B
123,AFG,"American Financial Group, Inc.",10.87B,0.33%,109449,7.83B
124,UWMC,UWM Holdings Corporation,10.82B,2.51%,904831,1.31B
125,EWBC,"East West Bancorp, Inc.",10.70B,1.02%,544150,2.48B
126,AEG,Aegon N.V.,10.40B,0.60%,624993,-11.08B
127,UNM,Unum Group,9.75B,0.85%,446307,12.39B
128,BSAC,Banco Santander-Chile,9.59B,1.69%,840082,2.19B
129,AIZ,"Assurant, Inc.",9.41B,0.10%,107335,11.13B
130,JEF,Jefferies Financial Group Inc.,9.19B,2.56%,490184,4.70B
131,SEIC,SEI Investments Company,9.14B,0.44%,159231,1.92B
132,FUTU,Futu Holdings Limited,8.94B,1.08%,2239412,1.27B
133,PRI,"Primerica, Inc.",8.60B,1.28%,30241,2.82B
134,HLI,"Houlihan Lokey, Inc.",8.52B,1.87%,134602,1.84B
135,MKTX,MarketAxess Holdings Inc.,8.43B,1.19%,173428,752.55M
136,WF,Woori Financial Group Inc.,8.40B,2.44%,19993,8.25B
137,WBS,Webster Financial Corporation,8.35B,1.32%,313674,2.50B
138,FHN,First Horizon Corporation,8.19B,0.41%,2083327,3.21B
139,ORI,Old Republic International Corporation,8.11B,0.29%,815920,7.26B
140,CIB,Bancolombia S.A.,7.88B,0.68%,106676,4.25B
141,SF,Stifel Financial Corp.,7.64B,1.06%,186314,4.35B
142,EVR,Evercore Inc.,7.38B,1.72%,98706,2.43B
143,SOFI,"SoFi Technologies, Inc.",7.31B,-0.74%,27175860,2.12B
144,VOYA,"Voya Financial, Inc.",7.07B,1.31%,908889,7.35B
145,IVZ,Invesco Ltd.,7.00B,1.12%,2494774,5.72B
146,CFR,Cullen Frost Bankers Inc.,6.93B,0.23%,107824,1.94B
147,CMA,Comerica Incorporated,6.85B,-0.08%,1083752,3.50B
148,CACC,Credit Acceptance Corporation,6.83B,0.99%,41298,1.90B
149,CBSH,"Commerce Bancshares, Inc.",6.77B,-0.06%,152029,1.54B
150,RLI,RLI Corp.,6.77B,-0.40%,47376,1.51B
151,WAL,Western Alliance Bancorporation,6.47B,0.56%,397424,2.56B
152,PNFP,"Pinnacle Financial Partners, Inc.",6.34B,0.06%,130582,1.60B
153,SIGI,"Selective Insurance Group, Inc.",6.32B,0.29%,99597,4.23B
154,SSB,SouthState Corporation,6.28B,-0.66%,116119,1.63B
155,BPOP,"Popular, Inc.",6.10B,0.11%,176790,2.57B
156,ZION,"Zions Bancorporation,NA",6.06B,0.21%,942889,2.98B
157,HLNE,Hamilton Lane Incorporated,6.04B,-0.36%,79643,489.97M
158,WTFC,Wintrust Financial Corporation,5.97B,0.58%,62108,2.16B
159,ESNT,Essent Group Ltd.,5.95B,0.75%,196120,1.11B
160,OBDC,Blue Owl Capital Corporation,5.88B,0.82%,1115436,1.58B
161,PB,"Prosperity Bancshares, Inc.",5.85B,0.05%,118323,1.09B
162,OMF,"OneMain Holdings, Inc.",5.84B,0.60%,389704,2.56B
163,FAF,First American Financial Corporation,5.80B,0.39%,216385,6.00B
164,SNV,Synovus Financial Corp.,5.73B,0.14%,604841,2.03B
165,MTG,MGIC Investment Corporation,5.64B,0.50%,946683,1.16B
166,BOKF,BOK Financial Corporation,5.60B,0.72%,68685,2.02B
167,MARA,"Marathon Digital Holdings, Inc.",5.49B,1.49%,37339652,387.51M
168,FCFS,"FirstCash Holdings, Inc",5.36B,1.30%,80851,3.15B
169,AXS,AXIS Capital Holdings Limited,5.25B,0.35%,175936,5.64B
170,FSK,FS KKR Capital Corp.,5.19B,0.65%,893173,1.83B
171,AMG,"Affiliated Managers Group, Inc.",5.18B,1.54%,105187,2.06B
172,JHG,Janus Henderson Group plc,5.13B,0.30%,277153,2.10B
173,CADE,Cadence Bank,5.06B,0.47%,364911,1.65B
174,AGO,Assured Guaranty Ltd.,5.04B,0.06%,116565,1.37B
175,ONB,Old National Bancorp,4.91B,0.79%,575418,1.78B
176,OZK,Bank OZK,4.85B,0.68%,408768,1.79B
177,FNB,F.N.B. Corporation,4.84B,0.56%,622527,1.50B
178,RDN,Radian Group Inc.,4.79B,0.54%,831196,1.24B
179,HOMB,"Home Bancshares, Inc. (Conway, AR)",4.78B,0.08%,283023,984.75M
180,JXN,Jackson Financial Inc.,4.78B,0.34%,614750,3.16B
181,BNRE,Brookfield Reinsurance Ltd.,4.76B,0.89%,1741,6.25B
182,ACT,"Enact Holdings, Inc.",4.75B,-0.65%,152190,1.15B
183,COOP,Mr. Cooper Group Inc.,4.73B,0.64%,113598,1.79B
184,WU,The Western Union Company,4.68B,-1.88%,2997710,4.36B
185,THG,"The Hanover Insurance Group, Inc.",4.67B,0.27%,35673,5.99B
186,UBSI,"United Bankshares, Inc.",4.64B,-0.35%,374044,1.02B
187,FG,"F&G Annuities & Life, Inc.",4.63B,0.68%,41698,4.50B
188,SLM,SLM Corporation,4.63B,0.57%,1307389,1.46B
189,DNB,"Dun & Bradstreet Holdings, Inc.",4.60B,-1.77%,772064,2.31B
190,GBCI,"Glacier Bancorp, Inc.",4.57B,-1.87%,240190,794.97M
191,ESGR,Enstar Group Limited,4.55B,0.58%,8970,1.43B
192,LNC,Lincoln National Corporation,4.54B,2.20%,1028120,11.65B
193,FFIN,"First Financial Bankshares, Inc.",4.52B,-0.65%,98280,481.18M
194,WTM,"White Mountains Insurance Group, Ltd.",4.46B,0.35%,2971,2.17B
195,AEL,American Equity Investment Life Holding Company,4.42B,-0.07%,79788,2.84B
196,BNRE.A,Brookfield Reinsurance Ltd,4.40B,0.52%,2338,6.25B
197,FRHC,Freedom Holding Corp.,4.40B,-0.05%,39860,1.40B
198,PFSI,"PennyMac Financial Services, Inc.",4.33B,1.53%,34213,1.40B
199,VLY,Valley National Bancorp,4.07B,1.39%,1861725,1.84B
200,GGAL,Grupo Financiero Galicia S.A.,4.02B,6.80%,738249,8.98B
201,COLB,"Columbia Banking System, Inc.",4.02B,0.60%,1901834,1.78B
202,CRVL,CorVel Corporation,4.00B,1.84%,16396,773.52M
203,MAIN,Main Street Capital Corporation,3.92B,-0.02%,202469,500.39M
204,UMBF,UMB Financial Corporation,3.89B,0.90%,64674,1.42B
205,AB,AllianceBernstein Holding L.P.,3.88B,0.72%,254716,299.78M
206,PJT,PJT Partners Inc.,3.88B,0.77%,198857,1.15B
207,STEP,StepStone Group Inc.,3.82B,1.31%,109099,527.20M
208,HWC,Hancock Whitney Corporation,3.78B,-0.23%,87515,1.33B
209,KMPR,Kemper Corporation,3.74B,0.91%,162876,4.94B
210,CNS,"Cohen & Steers, Inc.",3.62B,-0.31%,44623,489.64M
211,TFSL,TFS Financial Corporation,3.53B,-0.08%,90272,301.59M
212,AMTD,AMTD IDEA Group,3.52B,-1.71%,12898,235.75M
213,MC,Moelis & Company,3.50B,3.99%,476640,854.75M
214,SFBS,"ServisFirst Bancshares, Inc.",3.49B,-0.15%,35003,422.64M
215,BGC,"BGC Group, Inc",3.39B,1.00%,2968275,2.03B
216,IBOC,International Bancshares Corporation,3.35B,-0.36%,51585,798.87M
217,LU,Lufax Holding Ltd,3.35B,1.72%,3263420,5.46B
218,LAZ,Lazard Ltd,3.34B,2.51%,578491,2.52B
219,NNI,"Nelnet, Inc.",3.27B,0.96%,50904,1.15B
220,IFS,Intercorp Financial Services Inc.,3.23B,-2.63%,44198,1.15B
221,ABCB,Ameris Bancorp,3.21B,-0.75%,109629,935.22M
222,ASB,Associated Banc-Corp,3.15B,-0.31%,401892,1.02B
223,WD,"Walker & Dunlop, Inc.",3.12B,-0.28%,63445,1.05B
224,UCBI,"United Community Banks, Inc.",3.05B,0.51%,295803,803.82M
225,VIRT,"Virtu Financial, Inc.",3.04B,-0.26%,414447,2.29B
226,BMA,Banco Macro S.A.,3.04B,5.53%,225524,2.81B
227,BUR,Burford Capital Limited,3.04B,-1.18%,424096,-
228,APAM,Artisan Partners Asset Management Inc.,3.00B,1.03%,109641,975.13M
229,FHI,"Federated Hermes, Inc.",2.99B,1.24%,181314,1.61B
230,HGTY,"Hagerty, Inc.",2.98B,1.47%,47513,1.00B
231,BHF,"Brighthouse Financial, Inc.",2.97B,0.64%,113615,4.12B
232,CNO,"CNO Financial Group, Inc.",2.91B,1.10%,197874,4.15B
233,BANF,BancFirst Corporation,2.91B,-0.66%,21367,602.41M
234,AX,"Axos Financial, Inc.",2.89B,0.65%,200988,1.03B
235,CATY,Cathay General Bancorp,2.89B,-0.29%,82832,784.06M
236,HTGC,"Hercules Capital, Inc.",2.89B,0.41%,375775,460.67M
237,PIPR,Piper Sandler Companies,2.89B,1.55%,37742,1.35B
238,GSHD,"Goosehead Insurance, Inc",2.88B,0.30%,40419,261.28M
239,TCBI,"Texas Capital Bancshares, Inc.",2.81B,0.13%,121106,1.00B
240,GNW,"Genworth Financial, Inc.",2.79B,1.03%,932057,7.49B
241,FBP,First BanCorp.,2.78B,1.32%,696384,868.86M
242,NYCB,"New York Community Bancorp, Inc.",2.75B,8.72%,37146407,5.07B
243,FIBK,"First Interstate BancSystem, Inc.",2.73B,-0.27%,241862,993.60M
244,GBDC,"Golub Capital BDC, Inc.",2.73B,0.25%,570794,630.98M
245,AVAL,Grupo Aval Acciones y Valores S.A.,2.72B,-6.20%,251145,2.82B
246,FHB,"First Hawaiian, Inc.",2.71B,0.05%,170513,810.31M
247,INTR,"Inter & Co, Inc.",2.67B,2.44%,583001,975.89M
248,AMK,"AssetMark Financial Holdings, Inc.",2.66B,-0.04%,51891,714.45M
249,MCY,Mercury General Corporation,2.63B,0.46%,49749,4.63B
250,QFIN,Qifu Technology Inc.,2.63B,13.44%,3389320,2.16B
251,AUB,Atlantic Union Bankshares Corporation,2.61B,-0.32%,82230,670.27M
252,WSFS,WSFS Financial Corporation,2.59B,0.21%,69790,926.90M
253,VCTR,"Victory Capital Holdings, Inc.",2.57B,0.68%,137200,821.03M
254,FULT,Fulton Financial Corporation,2.47B,-0.10%,611149,1.03B
255,CBU,"Community Bank System, Inc.",2.46B,-0.11%,94656,640.92M
256,BOH,Bank of Hawaii Corporation,2.44B,0.16%,65059,664.63M
257,NMIH,"NMI Holdings, Inc.",2.44B,0.27%,181874,579.00M
258,CVBF,CVB Financial Corp.,2.41B,0.20%,308993,545.32M
259,SFNC,Simmons First National Corporation,2.40B,-1.20%,83041,763.66M
260,PUYI,Puyi Inc.,2.37B,-4.52%,6293,15.81M
261,EBC,"Eastern Bankshares, Inc.",2.36B,0.64%,400802,292.60M
262,BANC,"Banc of California, Inc.",2.35B,-0.13%,821599,246.84M
263,WAFD,WaFd Inc,2.25B,-0.56%,115495,673.02M
264,PSEC,Prospect Capital Corporation,2.22B,0.45%,1273218,883.81M
265,PPBI,"Pacific Premier Bancorp, Inc.",2.22B,0.43%,147591,440.99M
266,UPST,"Upstart Holdings, Inc.",2.20B,0.08%,2749662,513.56M
267,PAX,Patria Investments Limited,2.17B,1.13%,158209,307.16M
268,INDB,Independent Bank Corp.,2.15B,0.08%,104713,707.88M
269,SNEX,StoneX Group Inc.,2.13B,0.46%,33694,67.42B
270,PRK,Park National Corporation,2.10B,-0.83%,14047,462.84M
271,SPNT,SiriusPoint Ltd.,2.08B,-0.98%,492819,2.74B
272,SBCF,Seacoast Banking Corporation of Florida,2.07B,0.37%,68786,529.87M
273,FFBC,First Financial Bancorp.,2.05B,0.19%,85829,797.09M
274,HTH,Hilltop Holdings Inc.,2.04B,-0.35%,54172,1.18B
275,BKU,"BankUnited, Inc.",2.03B,-0.22%,262890,873.04M
276,TOWN,TowneBank,2.02B,-1.00%,119644,770.52M
277,AGM,Federal Agricultural Mortgage Corporation,2.02B,1.47%,41806,350.20M
