,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
83,LRN,"Stride, Inc.",2.68B,-0.29%,253708,1.94B
84,CENT,Central Garden & Pet Company,2.68B,1.12%,29205,3.32B
85,CENTA,Central Garden & Pet Company,2.68B,1.17%,49148,3.32B
86,GO,Grocery Outlet Holding Corp.,2.64B,0.64%,393532,3.97B
87,AKO.B,Embotelladora Andina S.A.,2.55B,2.25%,3984,3.12B
88,SPB,"Spectrum Brands Holdings, Inc.",2.54B,1.12%,107880,2.90B
89,PSMT,"PriceSmart, Inc.",2.53B,-0.36%,18935,4.52B
90,STRA,"Strategic Education, Inc.",2.52B,-0.83%,38913,1.13B
91,TBBB,BBB Foods Inc.,2.46B,3.78%,322282,1.94B
92,COUR,"Coursera, Inc.",2.29B,1.30%,589861,635.76M
93,TR,"Tootsie Roll Industries, Inc.",2.28B,0.03%,40202,769.37M
94,AKO.A,Embotelladora Andina S.A.,2.28B,4.49%,4530,3.12B
95,CCU,Compania Cervecerias Unidas S.A.,2.24B,2.28%,61409,3.19B
96,LAUR,"Laureate Education, Inc.",2.14B,-0.29%,137474,1.48B
97,DNUT,"Krispy Kreme, Inc.",2.13B,-4.59%,782996,1.69B
98,THS,"TreeHouse Foods, Inc.",2.06B,-3.42%,304240,3.43B
99,ATGE,Adtalem Global Education Inc.,1.96B,-0.15%,125158,1.50B
100,GOTU,Gaotu Techedu Inc.,1.93B,5.29%,3623279,417.60M
101,EPC,Edgewell Personal Care Company,1.90B,-1.18%,103285,2.27B
102,MGPI,"MGP Ingredients, Inc.",1.89B,-0.79%,61891,836.52M
103,AFYA,Afya Limited,1.86B,0.34%,309923,547.10M
104,ANDE,"The Andersons, Inc.",1.83B,0.95%,93539,14.75B
105,VGR,Vector Group Ltd.,1.77B,0.04%,318307,1.42B
106,UDMY,"Udemy, Inc.",1.76B,2.56%,596435,728.94M
107,WMK,"Weis Markets, Inc.",1.74B,-0.25%,34305,4.70B
108,CHEF,"The Chefs' Warehouse, Inc.",1.47B,-0.30%,100633,3.43B
109,UTZ,"Utz Brands, Inc.",1.46B,-2.00%,350201,1.44B
110,COCO,"The Vita Coco Company, Inc.",1.43B,1.83%,195595,493.61M
111,IMKTA,"Ingles Markets, Incorporated",1.41B,0.58%,17806,5.88B
112,UVV,Universal Corporation,1.24B,1.43%,129823,2.67B
113,JBSS,"Sanfilippo (John B.) & Son, Inc",1.20B,1.10%,18106,998.08M
114,FDP,Fresh Del Monte Produce Inc.,1.18B,-0.10%,80700,4.32B
115,KLG,WK Kellogg Co,1.17B,3.50%,1152676,2.76B
116,PRDO,Perdoceo Education Corporation,1.16B,1.06%,206492,710.00M
117,DOLE,Dole plc,1.12B,-0.34%,142614,8.25B
118,AGRO,Adecoagro S.A.,1.09B,1.96%,314366,1.41B
119,NAPA,"The Duckhorn Portfolio, Inc.",1.04B,2.56%,1614918,396.89M
120,BRCC,BRC Inc.,1.02B,1.73%,602461,395.62M
121,USNA,"USANA Health Sciences, Inc.",937.40M,2.68%,32827,921.01M
122,HLF,Herbalife Nutrition Ltd.,883.43M,6.63%,645483,5.06B
123,VITL,"Vital Farms, Inc.",877.71M,-,152157,471.86M
124,BGS,"B&G Foods, Inc.",871.94M,1.31%,341544,2.06B
125,AVO,"Mission Produce, Inc.",845.20M,-0.33%,212731,999.10M
126,CHGG,"Chegg, Inc.",825.65M,-0.37%,681227,716.30M
127,HAIN,"The Hain Celestial Group, Inc.",825.56M,-0.92%,383576,1.78B
128,EWCZ,"European Wax Center, Inc.",822.24M,-3.25%,231345,221.02M
129,UTI,"Universal Technical Institute, Inc.",815.11M,-1.98%,231767,662.10M
130,WEST,"Westrock Coffee Company, LLC",804.79M,13.13%,373309,877.47M
131,STKL,SunOpta Inc.,790.00M,2.21%,562538,630.30M
