,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,FLT,"FLEETCOR Technologies, Inc.",21.17B,1.48%,191350,3.76B
85,NTAP,"NetApp, Inc.",21.16B,-0.38%,755433,6.18B
86,IOT,Samsara Inc.,21.11B,-0.46%,2027732,937.39M
87,WDC,Western Digital Corporation,20.52B,-0.84%,1818606,11.26B
88,APP,AppLovin Corporation,20.26B,2.36%,1540410,3.28B
89,TDY,Teledyne Technologies Incorporated,20.13B,-0.14%,63424,5.64B
90,NOK,Nokia Oyj,20.11B,-0.14%,14848407,24.73B
91,STX,Seagate Technology Holdings plc,19.38B,-2.14%,1684284,6.47B
92,VRSN,"VeriSign, Inc.",19.37B,-0.03%,163260,1.49B
93,CHKP,Check Point Software Technologies Ltd.,19.25B,0.88%,323460,2.41B
94,JBL,Jabil Inc.,19.08B,-0.14%,721854,33.45B
95,ERIC,Telefonaktiebolaget LM Ericsson (publ),19.04B,0.44%,8845191,26.11B
96,TYL,"Tyler Technologies, Inc.",18.04B,-0.85%,117123,1.95B
97,OKTA,"Okta, Inc.",18.04B,1.91%,723158,2.26B
98,EPAM,"EPAM Systems, Inc.",17.87B,-1.09%,113753,4.69B
99,SWKS,"Skyworks Solutions, Inc.",17.52B,-0.97%,1107505,4.64B
100,LDOS,"Leidos Holdings, Inc.",17.28B,0.70%,396882,15.44B
101,FSLR,"First Solar, Inc.",17.02B,-0.89%,740585,3.32B
102,GDDY,GoDaddy Inc.,16.74B,0.57%,437366,4.25B
103,AKAM,"Akamai Technologies, Inc.",16.63B,0.37%,782535,3.81B
104,PSTG,"Pure Storage, Inc.",16.57B,-2.98%,2134028,2.83B
105,TER,"Teradyne, Inc.",16.56B,-2.17%,553950,2.68B
106,ENPH,"Enphase Energy, Inc.",16.43B,-3.05%,2245078,2.29B
107,MANH,"Manhattan Associates, Inc.",15.77B,-1.31%,160720,928.73M
108,TRMB,Trimble Inc.,15.58B,0.14%,326667,3.80B
109,NTNX,"Nutanix, Inc.",15.56B,1.54%,992168,2.02B
110,SSNC,"SS&C Technologies Holdings, Inc.",15.47B,0.53%,283461,5.50B
111,NICE,NICE Ltd.,15.43B,0.33%,151969,2.38B
112,ZBRA,Zebra Technologies Corporation,14.67B,0.07%,116146,4.58B
113,BSY,"Bentley Systems, Incorporated",14.55B,0.72%,442808,1.23B
114,HOOD,"Robinhood Markets, Inc.",14.33B,4.79%,8764471,1.87B
115,LOGI,Logitech International S.A.,14.32B,1.41%,215691,4.25B
116,GEN,Gen Digital Inc.,14.11B,-0.07%,1196916,3.79B
117,PATH,UiPath Inc.,13.95B,0.16%,10036696,1.21B
118,DT,"Dynatrace, Inc.",13.90B,-0.23%,1745219,1.36B
119,TOST,"Toast, Inc.",13.70B,0.46%,4108926,3.87B
120,AZPN,"Aspen Technology, Inc.",12.70B,1.02%,62962,1.06B
121,GRAB,Grab Holdings Limited,12.63B,2.02%,11780823,2.36B
122,JKHY,"Jack Henry & Associates, Inc.",12.52B,0.77%,140006,2.16B
123,FLEX,Flex Ltd.,12.18B,-0.02%,1805826,29.39B
124,JNPR,"Juniper Networks, Inc.",11.95B,-0.30%,2195400,5.56B
125,DOCU,"DocuSign, Inc.",11.93B,1.21%,2629575,2.76B
126,QRVO,"Qorvo, Inc.",11.56B,-2.85%,401293,3.46B
127,PCOR,"Procore Technologies, Inc.",11.51B,-0.33%,625684,950.01M
128,AFRM,"Affirm Holdings, Inc.",11.50B,4.56%,6849721,1.91B
129,FFIV,"F5, Inc.",11.41B,-0.13%,111030,2.81B
130,ZI,ZoomInfo Technologies Inc.,11.28B,2.54%,2784455,1.24B
131,LSCC,Lattice Semiconductor Corporation,11.17B,-2.81%,588666,737.15M
132,CYBR,CyberArk Software Ltd.,10.87B,-0.37%,191497,751.89M
133,DOX,Amdocs Limited,10.87B,0.13%,203816,4.95B
134,MNDY,monday.com Ltd.,10.85B,-0.77%,250401,729.70M
135,DAY,Dayforce Inc,10.68B,0.09%,215141,1.51B
136,ESTC,Elastic N.V.,10.68B,0.39%,440726,1.21B
137,PAYC,"Paycom Software, Inc.",10.57B,0.61%,313942,1.69B
138,OTEX,Open Text Corporation,10.34B,1.64%,247095,5.70B
139,U,Unity Software Inc.,9.97B,2.29%,7862917,2.19B
140,CFLT,"Confluent, Inc.",9.88B,-0.13%,1904695,776.95M
141,DUOL,"Duolingo, Inc.",9.85B,-1.73%,334943,531.11M
142,INFA,Informatica Inc.,9.76B,2.59%,388220,1.60B
143,WEX,WEX Inc.,9.71B,0.94%,78895,2.55B
144,GWRE,"Guidewire Software, Inc.",9.55B,0.84%,609167,925.75M
145,COHR,"Coherent, Inc.",9.52B,-1.75%,699816,4.63B
146,PCTY,Paylocity Holding Corporation,9.48B,1.79%,139866,1.29B
147,GLOB,Globant S.A.,9.35B,-0.12%,229425,2.10B
148,SNX,TD SYNNEX Corporation,9.07B,1.03%,185156,57.56B
149,GTLB,GitLab Inc.,9.02B,-2.38%,1424514,579.91M
150,ONTO,Onto Innovation Inc.,8.98B,-2.78%,141667,815.87M
151,NXT,Nextracker Inc.,8.70B,1.55%,1504405,2.28B
152,MKSI,"MKS Instruments, Inc.",8.63B,-2.60%,248157,3.62B
153,AMKR,"Amkor Technology, Inc.",8.37B,-2.17%,259174,6.50B
154,S,"SentinelOne, Inc.",8.35B,0.77%,5942927,573.08M
155,CACI,CACI International Inc,8.32B,0.49%,76176,7.13B
156,DBX,"Dropbox, Inc.",8.20B,0.61%,1744696,2.50B
157,WIX,Wix.com Ltd.,8.08B,2.00%,554102,1.56B
