,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
87,NXE,NexGen Energy Ltd.,4.03B,-2.95%,5847728,-
88,HP,"Helmerich & Payne, Inc.",3.91B,2.37%,724506,2.83B
89,NOG,"Northern Oil and Gas, Inc.",3.73B,1.52%,412613,2.17B
90,VIST,"Vista Energy, SAB de CV",3.68B,2.16%,354718,1.17B
91,STNG,Scorpio Tankers Inc.,3.67B,3.67%,746573,1.34B
92,ERF,Enerplus Corporation,3.66B,1.17%,2502055,1.69B
93,CRC,California Resources Corporation,3.61B,2.30%,853454,2.80B
94,EURN,Euronav NV,3.60B,-0.51%,2599252,1.63B
95,LBRT,Liberty Energy Inc.,3.55B,-6.43%,4688700,4.75B
96,CVI,"CVR Energy, Inc.",3.41B,6.64%,535960,9.25B
97,SDRL,Seadrill Limited,3.40B,2.01%,898931,1.50B
98,CNX,CNX Resources Corporation,3.25B,2.34%,1317280,3.43B
99,BTU,Peabody Energy Corporation,3.24B,0.10%,2056133,4.95B
100,BSM,"Black Stone Minerals, L.P.",3.21B,1.78%,221288,592.22M
101,TRMD,TORM plc,3.08B,1.77%,476834,1.52B
102,WHD,"Cactus, Inc.",3.06B,2.89%,222495,1.10B
103,ARCH,"Arch Resources, Inc.",3.04B,-0.84%,327779,3.15B
104,NS,NuStar Energy L.P.,3.03B,-0.62%,129987,1.63B
105,AROC,"Archrock, Inc.",2.87B,3.67%,1189279,990.34M
106,USAC,"USA Compression Partners, LP",2.83B,2.25%,142430,846.18M
107,UEC,Uranium Energy Corp.,2.72B,-2.15%,8332044,59.39M
108,GPOR,Gulfport Energy Corporation,2.63B,2.27%,115105,1.05B
109,BTE,Baytex Energy Corp.,2.61B,2.83%,4352886,2.04B
110,KOS,Kosmos Energy Ltd.,2.61B,2.29%,2999152,1.70B
111,INSW,"International Seaways, Inc.",2.54B,2.50%,253187,1.07B
112,CEIX,CONSOL Energy Inc.,2.52B,-0.21%,269756,2.57B
113,ARLP,"Alliance Resource Partners, L.P.",2.52B,-0.71%,262769,2.57B
114,GLNG,Golar LNG Limited,2.44B,2.02%,1147235,267.74M
115,TALO,Talos Energy Inc.,2.35B,1.17%,2485117,1.46B
116,CRK,"Comstock Resources, Inc.",2.33B,-0.36%,2512130,1.57B
117,TGS,Transportadora de Gas del Sur S.A.,2.24B,1.44%,359079,932.68M
118,KNTK,Kinetik Holdings Inc.,2.17B,2.44%,197737,1.26B
119,CPE,Callon Petroleum Company,2.17B,4.97%,851343,2.34B
120,PARR,"Par Pacific Holdings, Inc.",2.15B,5.10%,396357,8.23B
121,AESI,Atlas Energy Solutions Inc.,2.11B,0.45%,588131,613.96M
122,OII,"Oceaneering International, Inc.",2.06B,1.86%,361556,2.42B
123,XPRO,Expro Group Holdings N.V.,2.02B,0.76%,266667,1.51B
124,HPK,"HighPeak Energy, Inc.",1.96B,3.19%,199498,1.11B
125,CRGY,Crescent Energy Company,1.93B,0.83%,641655,2.38B
126,VTLE,"Vital Energy, Inc.",1.84B,2.12%,336669,1.55B
127,DKL,"Delek Logistics Partners, LP",1.83B,0.46%,46540,1.02B
128,VET,Vermilion Energy Inc.,1.82B,2.23%,808959,1.51B
129,KGS,"Kodiak Gas Services, Inc.",1.82B,1.29%,152777,850.38M
130,TNK,Teekay Tankers Ltd.,1.81B,1.83%,119552,1.36B
131,DHT,"DHT Holdings, Inc.",1.74B,0.65%,794262,560.56M
132,MNR,Mach Natural Resources LP,1.73B,2.39%,105079,817.06M
133,DK,"Delek US Holdings, Inc.",1.66B,5.53%,537460,16.92B
134,DNN,Denison Mines Corp.,1.63B,-0.55%,11038968,1.39M
135,RES,"RPC, Inc.",1.63B,-1.06%,1276185,1.62B
136,BORR,Borr Drilling Limited,1.62B,3.27%,1458180,771.60M
137,KRP,"Kimbell Royalty Partners, LP",1.59B,-,137314,294.07M
138,GLP,Global Partners LP,1.57B,0.93%,22419,16.49B
139,DNOW,NOW Inc.,1.54B,1.68%,598065,2.32B
140,LPG,Dorian LPG Ltd.,1.53B,1.59%,346877,552.96M
141,HLX,"Helix Energy Solutions Group, Inc.",1.44B,2.05%,642942,1.29B
142,WKC,World Kinect Corporation,1.41B,7.56%,311382,47.71B
143,FLNG,FLEX LNG Ltd.,1.38B,0.41%,127522,371.02M
144,GEL,"Genesis Energy, L.P.",1.34B,-2.43%,213455,3.18B
145,NEXT,NextDecade Corporation,1.31B,2.45%,846171,-
146,DO,"Diamond Offshore Drilling, Inc.",1.28B,1.56%,726441,1.06B
147,ACDC,ProFrac Holding Corp.,1.26B,-3.97%,1681342,2.93B
148,DMLP,"Dorchester Minerals, L.P.",1.26B,0.31%,25381,163.80M
149,CLMT,"Calumet Specialty Products Partners, L.P.",1.18B,0.54%,94470,4.18B
150,NRP,Natural Resource Partners L.P.,1.17B,2.57%,15246,370.01M
151,NVGS,Navigator Holdings Ltd.,1.13B,1.89%,159360,532.39M
152,MRC,MRC Global Inc.,1.03B,0.58%,91272,3.41B
153,WTTR,"Select Energy Services, Inc.",1.01B,2.10%,803041,1.59B
154,UUUU,Energy Fuels Inc.,1.00B,-1.47%,1819851,37.93M
155,SLCA,"U.S. Silica Holdings, Inc.",933.93M,1.84%,427159,1.55B
156,SBR,Sabine Royalty Trust,905.66M,0.06%,18074,93.01M
157,PDS,Precision Drilling Corporation,901.62M,1.95%,22886,1.46B
158,CAPL,CrossAmerica Partners LP,835.10M,1.12%,5279,4.39B
159,PUMP,ProPetro Holding Corp.,809.08M,0.40%,1282677,1.63B
160,SBOW,"SilverBow Resources, Inc.",806.37M,3.09%,514567,652.36M
161,DRQ,"Dril-Quip, Inc.",790.83M,0.85%,67927,424.06M
162,NBR,Nabors Industries Ltd.,782.39M,1.83%,104050,3.05B
163,NGL,NGL Energy Partners LP,773.89M,0.77%,86642,7.38B
164,EU,enCore Energy Corp.,761.32M,-2.66%,561875,-
165,EFXT,Enerflex Ltd.,759.86M,0.33%,190970,2.38B
166,CLB,Core Laboratories N.V.,748.50M,0.06%,80394,509.79M
167,VTOL,Bristow Group Inc.,741.62M,0.39%,36952,1.30B
168,TNP,Tsakos Energy Navigation Limited,706.36M,2.28%,226410,860.40M
169,VTS,"Vitesse Energy, Inc.",698.94M,1.77%,123078,233.91M
170,NOA,North American Construction Group Ltd.,673.45M,1.55%,70587,640.25M
171,TELL,Tellurian Inc.,666.83M,8.06%,40679604,166.13M
172,TK,Teekay Corporation,646.14M,1.41%,334460,1.52B
173,LEU,Centrus Energy Corp.,616.18M,-3.67%,135615,320.20M
174,NR,"Newpark Resources, Inc.",593.00M,0.22%,290770,749.60M
175,CLNE,Clean Energy Fuels Corp.,569.26M,1.76%,798810,425.16M
176,BRY,Berry Corporation,568.68M,0.47%,563177,903.46M
177,DEC,Diversified Energy Company PLC,567.27M,-,45429,-
178,TXO,TXO Partners L.P.,565.49M,-2.23%,53552,380.72M
179,REPX,"Riley Exploration Permian, Inc.",562.22M,5.08%,67828,375.05M
180,PBT,Permian Basin Royalty Trust,561.40M,1.25%,86021,29.10M
181,OBE,Obsidian Energy Ltd.,555.17M,4.18%,417881,514.59M
