,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,WING,Wingstop Inc.,10.29B,-1.04%,187707,460.06M
86,TXRH,"Texas Roadhouse, Inc.",10.07B,3.13%,878277,4.63B
87,ALV,"Autoliv, Inc.",9.92B,1.98%,305494,10.48B
88,XPEV,XPeng Inc.,9.78B,-2.18%,5555366,3.13B
89,ONON,On Holding AG,9.77B,7.56%,9334536,2.13B
90,TPX,"Tempur Sealy International, Inc.",9.66B,3.19%,793313,4.93B
91,VIPS,Vipshop Holdings Limited,9.64B,0.34%,2979450,15.92B
92,CCK,"Crown Holdings, Inc.",9.42B,0.39%,514387,12.01B
93,SKX,"Skechers U.S.A., Inc.",9.39B,1.40%,728983,8.00B
94,LNW,"Light & Wonder, Inc.",9.15B,-0.02%,241029,2.90B
95,CZR,"Caesars Entertainment, Inc.",9.14B,-0.64%,840586,11.53B
96,BIRK,Birkenstock Holding plc,8.99B,0.91%,181880,1.69B
97,MTN,"Vail Resorts, Inc.",8.59B,-0.92%,200074,2.84B
98,GPK,Graphic Packaging Holding Company,8.52B,2.43%,2102088,9.43B
99,MUSA,Murphy USA Inc.,8.49B,1.31%,64359,21.53B
100,GPS,"The Gap, Inc.",8.42B,2.07%,6062478,14.83B
101,ETSY,"Etsy, Inc.",8.40B,-2.35%,1380784,2.75B
102,CHDN,Churchill Downs Incorporated,8.39B,-0.72%,220052,2.46B
103,GNTX,Gentex Corporation,8.35B,0.44%,508500,2.30B
104,NCLH,Norwegian Cruise Line Holdings Ltd.,8.33B,2.20%,6715385,8.55B
105,AS,"Amer Sports, Inc.",8.13B,-,260221,4.37B
106,LEA,Lear Corporation,8.06B,1.24%,210474,23.47B
107,SN,"SharkNinja, Inc.",7.98B,0.38%,915881,4.25B
108,PVH,PVH Corp.,7.89B,0.16%,1061453,9.22B
109,LAD,"Lithia Motors, Inc.",7.88B,1.87%,84529,31.04B
110,CHWY,"Chewy, Inc.",7.76B,0.39%,3701843,11.01B
111,MHK,"Mohawk Industries, Inc.",7.62B,2.10%,318784,11.14B
112,CROX,"Crocs, Inc.",7.60B,2.25%,620135,3.96B
113,CAVA,"CAVA Group, Inc.",7.51B,-0.55%,1637830,728.70M
114,BWA,BorgWarner Inc.,7.48B,0.52%,1568507,14.20B
115,LEVI,Levi Strauss & Co.,7.38B,1.38%,769592,6.18B
116,W,Wayfair Inc.,7.31B,4.80%,2750599,12.00B
117,HAS,"Hasbro, Inc.",7.25B,0.24%,586762,5.00B
118,MAT,"Mattel, Inc.",7.16B,0.89%,1262830,5.44B
119,BROS,Dutch Bros Inc.,7.14B,2.05%,1223983,965.78M
120,MMYT,MakeMyTrip Limited,7.03B,-2.25%,441782,728.16M
121,BERY,"Berry Global Group, Inc.",7.01B,0.71%,342111,12.46B
122,MNSO,MINISO Group Holding Limited,6.91B,9.22%,2897160,1.95B
123,DDS,"Dillard's, Inc.",6.88B,3.33%,45487,6.87B
124,LCID,"Lucid Group, Inc.",6.85B,-1.88%,10400508,595.27M
125,BFAM,Bright Horizons Family Solutions Inc.,6.80B,1.07%,92239,2.42B
126,ALSN,"Allison Transmission Holdings, Inc.",6.75B,0.64%,126717,3.04B
127,HRB,"H&R Block, Inc.",6.67B,0.33%,293357,3.49B
128,CART,Maplebear Inc.,6.47B,-0.59%,1131142,3.04B
129,WH,"Wyndham Hotels & Resorts, Inc.",6.46B,-0.71%,556690,1.40B
130,CHH,"Choice Hotels International, Inc.",6.29B,-0.34%,566870,1.54B
131,AN,"AutoNation, Inc.",6.23B,2.20%,109706,26.95B
132,TMHC,Taylor Morrison Home Corporation,6.18B,2.51%,395969,7.42B
133,BC,Brunswick Corporation,6.10B,-0.09%,468467,6.40B
134,ANF,Abercrombie & Fitch Co.,6.09B,3.96%,1036180,4.28B
135,REYN,Reynolds Consumer Products Inc.,6.08B,0.47%,451974,3.76B
136,BYD,Boyd Gaming Corporation,6.08B,-0.45%,472623,3.74B
137,VFC,V.F. Corporation,6.06B,-0.06%,4019028,10.82B
138,RRR,"Red Rock Resorts, Inc.",5.87B,0.42%,73186,1.72B
139,WHR,Whirlpool Corporation,5.87B,0.40%,522646,19.46B
140,MTH,Meritage Homes Corporation,5.78B,1.82%,168361,6.14B
141,GIL,Gildan Activewear Inc.,5.72B,2.45%,335420,3.20B
142,M,"Macy's, Inc.",5.72B,1.15%,3487449,23.87B
143,GLBE,Global-e Online Ltd.,5.68B,4.73%,724268,569.95M
144,SON,Sonoco Products Company,5.66B,0.75%,296553,6.78B
145,PLNT,"Planet Fitness, Inc.",5.63B,-0.94%,426668,1.07B
146,HOG,"Harley-Davidson, Inc.",5.47B,0.15%,895486,5.84B
147,THO,"Thor Industries, Inc.",5.47B,0.15%,167480,10.38B
148,CPRI,Capri Holdings Limited,5.46B,-0.07%,154996,5.28B
149,SEE,Sealed Air Corporation,5.30B,0.44%,395284,5.49B
150,LOT,Lotus Technology Inc.,5.29B,0.51%,50099,139.59M
151,KBH,KB Home,5.25B,1.79%,399652,6.41B
152,RH,RH,5.23B,6.57%,731485,3.06B
153,PII,Polaris Inc.,5.15B,0.89%,158395,8.93B
154,ASO,"Academy Sports and Outdoors, Inc.",4.99B,2.93%,800920,6.11B
155,SKY,Skyline Champion Corporation,4.80B,3.71%,91224,1.98B
156,COLM,Columbia Sportswear Company,4.79B,0.45%,130369,3.49B
157,HGV,Hilton Grand Vacations Inc.,4.75B,1.47%,245797,3.98B
158,SLGN,Silgan Holdings Inc.,4.74B,0.56%,141139,5.99B
159,IGT,International Game Technology PLC,4.73B,-7.06%,2350524,4.79B
160,MDC,"M.D.C. Holdings, Inc.",4.71B,0.26%,1165610,4.64B
161,DOOO,BRP Inc.,4.70B,1.71%,62704,7.85B
162,AAP,"Advance Auto Parts, Inc.",4.67B,2.33%,1585979,11.29B
163,GME,GameStop Corp.,4.50B,2.00%,1999496,5.71B
164,MOD,Modine Manufacturing Company,4.44B,-2.51%,675358,2.42B
165,AEO,"American Eagle Outfitters, Inc.",4.42B,3.15%,3067191,5.08B
166,SHAK,Shake Shack Inc.,4.33B,0.89%,329095,1.09B
167,ABG,"Asbury Automotive Group, Inc.",4.30B,-0.17%,48852,14.80B
168,SIG,Signet Jewelers Limited,4.30B,2.80%,333908,7.34B
169,GOLF,Acushnet Holdings Corp.,3.93B,1.70%,109841,2.38B
170,WEN,The Wendy's Company,3.79B,1.36%,1263973,2.18B
171,URBN,"Urban Outfitters, Inc.",3.77B,3.40%,655071,5.05B
172,RUSHB,"Rush Enterprises, Inc.",3.77B,0.87%,4948,7.93B
173,RUSHA,"Rush Enterprises, Inc.",3.77B,1.08%,130655,7.93B
174,DFH,"Dream Finders Homes, Inc.",3.74B,3.39%,285929,3.75B
175,TRIP,"Tripadvisor, Inc.",3.69B,0.15%,748041,1.79B
176,ZGN,Ermenegildo Zegna N.V.,3.67B,1.06%,281652,1.83B
177,GPI,"Group 1 Automotive, Inc.",3.63B,0.40%,30810,17.87B
178,GT,The Goodyear Tire & Rubber Company,3.60B,-0.43%,984147,20.07B
179,MHO,"M/I Homes, Inc.",3.56B,2.21%,84778,4.03B
180,PSNY,Polestar Automotive Holding UK PLC,3.52B,0.60%,1164101,2.83B
181,UA,"Under Armour, Inc.",3.46B,1.03%,1150791,5.77B
182,UAA,"Under Armour, Inc.",3.44B,1.55%,3346404,5.77B
183,KTB,"Kontoor Brands, Inc.",3.37B,1.03%,360787,2.61B
184,VAC,Marriott Vacations Worldwide Corporation,3.36B,2.69%,311925,4.73B
185,PRKS,United Parks & Resorts Inc.,3.31B,0.46%,276899,1.73B
186,YETI,"YETI Holdings, Inc.",3.29B,1.22%,898521,1.66B
187,MLCO,Melco Resorts & Entertainment Limited,3.28B,0.80%,1265735,3.78B
188,TPH,"Tri Pointe Homes, Inc.",3.27B,3.22%,786364,3.72B
189,VC,Visteon Corporation,3.22B,1.28%,156700,3.95B
190,TNL,Travel + Leisure Co.,3.21B,0.65%,166547,3.75B
191,SVV,"Savers Value Village, Inc.",3.18B,-2.69%,328103,1.50B
192,ADNT,Adient plc,3.12B,1.02%,356504,15.36B
193,CRI,"Carter's, Inc.",3.12B,2.44%,434417,2.95B
194,CVCO,"Cavco Industries, Inc.",3.09B,1.77%,22959,1.85B
195,SHOO,"Steven Madden, Ltd.",3.09B,1.63%,336361,1.98B
196,GEF.B,"Greif, Inc.",3.07B,0.05%,3270,5.15B
197,GEF,"Greif, Inc.",3.06B,0.36%,41224,5.15B
198,QS,QuantumScape Corporation,2.98B,-0.42%,2608797,-
199,PENN,"PENN Entertainment, Inc.",2.91B,-0.47%,1763875,6.36B
200,AIN,Albany International Corp.,2.91B,0.28%,37671,1.15B
201,JWN,"Nordstrom, Inc.",2.89B,1.24%,2251714,14.59B
202,ACVA,ACV Auctions Inc.,2.89B,0.74%,1459002,481.23M
203,LTH,"Life Time Group Holdings, Inc.",2.85B,-0.35%,809236,2.22B
204,LCII,LCI Industries,2.84B,0.24%,71421,3.78B
205,DORM,"Dorman Products, Inc.",2.82B,0.12%,32904,1.93B
206,KSS,Kohl's Corporation,2.81B,0.59%,5104987,17.54B
207,VSTS,Vestis Corporation,2.80B,-1.04%,1107933,-
208,CCS,"Century Communities, Inc.",2.78B,2.10%,145041,3.69B
209,ATAT,Atour Lifestyle Holdings Limited,2.66B,2.18%,501818,520.90M
210,LGIH,"LGI Homes, Inc.",2.64B,0.36%,53992,2.36B
211,ZKH,ZKH Group Limited,2.63B,-7.54%,25287,1.16B
212,BOOT,"Boot Barn Holdings, Inc.",2.62B,0.43%,471880,1.70B
213,LEG,"Leggett & Platt, Incorporated",2.59B,0.72%,1291953,4.73B
214,MODG,Topgolf Callaway Brands Corp.,2.57B,-,1484762,4.28B
215,ARCO,Arcos Dorados Holdings Inc.,2.52B,-2.59%,2975025,4.18B
216,BLMN,"Bloomin' Brands, Inc.",2.50B,0.87%,402536,4.67B
217,FTDR,"Frontdoor, Inc.",2.48B,1.83%,462524,1.78B
218,OI,"O-I Glass, Inc.",2.46B,-1.00%,502806,7.11B
219,MCW,"Mister Car Wash, Inc.",2.46B,-2.75%,572947,927.07M
220,PATK,"Patrick Industries, Inc.",2.44B,2.58%,167169,3.47B
221,DRVN,Driven Brands Holdings Inc.,2.40B,0.99%,387337,2.30B
222,GRBK,"Green Brick Partners, Inc.",2.39B,3.55%,152223,1.78B
223,PZZA,"Papa John's International, Inc.",2.38B,-1.49%,201577,2.14B
224,PTVE,Pactiv Evergreen Inc.,2.37B,0.15%,98163,5.51B
225,FL,"Foot Locker, Inc.",2.29B,-3.27%,1903789,8.13B
226,MBC,"MasterBrand, Inc.",2.27B,0.64%,445616,2.73B
227,GTX,Garrett Motion Inc.,2.27B,2.63%,291025,3.89B
228,SG,"Sweetgreen, Inc.",2.24B,7.90%,2392581,584.04M
229,SIX,Six Flags Entertainment Corporation,2.16B,0.86%,382060,1.43B
230,EAT,"Brinker International, Inc.",2.16B,1.09%,675021,4.25B
231,MLKN,"MillerKnoll, Inc.",2.16B,2.01%,315449,3.81B
232,FUN,"Cedar Fair, L.P.",2.14B,1.82%,140005,1.80B
233,FOXF,Fox Factory Holding Corp.,2.13B,0.91%,276917,1.46B
234,ARHS,"Arhaus, Inc.",2.12B,6.77%,1108718,1.29B
235,AMBP,Ardagh Metal Packaging S.A.,2.09B,2.78%,516293,4.81B
236,BKE,"The Buckle, Inc.",1.93B,-0.63%,128316,1.28B
237,WGO,"Winnebago Industries, Inc.",1.89B,2.13%,201544,3.30B
238,ODP,The ODP Corporation,1.88B,0.84%,142669,7.83B
239,VSTO,Vista Outdoor Inc.,1.86B,-0.28%,249085,2.79B
240,HBI,Hanesbrands Inc.,1.85B,1.23%,3926037,5.64B
241,CAKE,The Cheesecake Factory Incorporated,1.85B,2.38%,341875,3.44B
242,EYE,"National Vision Holdings, Inc.",1.84B,-0.06%,281904,2.13B
243,SGHC,Super Group (SGHC) Limited,1.78B,-3.05%,180101,1.49B
244,SAH,"Sonic Automotive, Inc.",1.78B,0.16%,55051,14.37B
245,DAN,Dana Incorporated,1.77B,-1.43%,2332639,10.56B
246,THRM,Gentherm Incorporated,1.76B,-0.82%,42909,1.47B
247,KAR,Openlane Inc.,1.72B,-0.57%,138422,1.65B
248,PTON,"Peloton Interactive, Inc.",1.70B,-2.37%,4882056,2.73B
249,PHIN,PHINIA Inc.,1.68B,4.45%,989713,3.50B
250,OXM,"Oxford Industries, Inc.",1.66B,0.72%,68928,1.55B
251,CNNE,"Cannae Holdings, Inc.",1.59B,0.45%,203920,570.00M
252,BYON,"Beyond, Inc.",1.57B,-0.25%,367995,1.56B
253,LZB,La-Z-Boy Incorporated,1.56B,3.25%,214404,2.05B
254,LVWR,"LiveWire Group, Inc.",1.56B,1.08%,3751,38.02M
255,CBRL,"Cracker Barrel Old Country Store, Inc.",1.51B,0.84%,292099,3.43B
256,AMWD,American Woodmark Corporation,1.51B,-0.15%,28936,1.88B
257,RVLV,"Revolve Group, Inc.",1.50B,3.77%,308817,1.07B
258,VSCO,Victoria's Secret & Co.,1.47B,4.93%,2348384,6.12B
259,FWRG,"First Watch Restaurant Group, Inc.",1.47B,-0.81%,142726,891.55M
260,JACK,Jack in the Box Inc.,1.42B,0.34%,145498,1.65B
261,GIII,"G-III Apparel Group, Ltd.",1.39B,1.18%,364661,3.19B
262,NWTN,NWTN Inc.,1.38B,-6.38%,27037,583.00K
263,XPEL,"XPEL, Inc.",1.38B,-0.26%,43491,396.29M
264,GES,"Guess', Inc.",1.36B,0.61%,290141,2.70B
