,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
87,LECO,"Lincoln Electric Holdings, Inc.",14.35B,-0.87%,139970,4.19B
88,SWK,"Stanley Black & Decker, Inc.",14.06B,0.81%,356435,15.78B
89,OC,Owens Corning,13.88B,1.62%,352979,9.68B
90,RBA,RB Global Inc,13.86B,0.61%,420866,3.68B
91,UAL,"United Airlines Holdings, Inc.",13.83B,2.35%,4841801,53.72B
92,PNR,Pentair plc,13.55B,0.46%,501809,4.10B
93,BLD,TopBuild Corp.,13.15B,1.59%,80474,5.19B
94,GFL,GFL Environmental Inc.,12.96B,-0.63%,421258,5.65B
95,UHAL,U-Haul Holding Company,12.80B,0.65%,19011,5.72B
96,UHAL.B,U-Haul Holding Company,12.80B,0.44%,179015,5.72B
97,TFII,TFI International Inc.,12.72B,0.53%,64510,7.52B
98,AOS,A. O. Smith Corporation,12.64B,0.56%,354059,3.85B
99,WMS,"Advanced Drainage Systems, Inc.",12.54B,1.29%,212252,2.84B
100,ACM,AECOM,12.46B,-0.30%,210260,14.90B
101,RRX,Regal Rexnord Corporation,11.65B,-0.01%,170907,6.25B
102,ALLE,Allegion plc,11.65B,-0.02%,492332,3.65B
103,NVT,nVent Electric plc,11.54B,1.30%,525199,3.26B
104,HII,"Huntington Ingalls Industries, Inc.",11.49B,-0.11%,115608,11.45B
105,FIX,"Comfort Systems USA, Inc.",10.78B,-0.22%,154540,5.21B
106,ITT,ITT Inc.,10.45B,0.52%,86277,3.28B
107,TREX,"Trex Company, Inc.",10.41B,0.40%,237194,1.09B
108,FBIN,"Fortune Brands Innovations, Inc.",10.33B,-0.16%,337977,4.63B
109,CLH,"Clean Harbors, Inc.",10.11B,0.43%,110917,5.41B
110,TTEK,"Tetra Tech, Inc.",9.82B,0.47%,64591,4.86B
111,CNM,"Core & Main, Inc.",9.72B,0.78%,1050506,6.64B
112,STN,Stantec Inc.,9.71B,0.11%,39193,3.81B
113,APG,APi Group Corporation,9.56B,0.13%,259460,6.93B
114,BWXT,"BWX Technologies, Inc.",9.27B,0.01%,592125,2.50B
115,TTC,The Toro Company,9.21B,2.30%,288974,4.41B
116,CW,Curtiss-Wright Corporation,9.17B,0.31%,67063,2.85B
117,KNX,Knight-Swift Transportation Holdings Inc.,9.16B,-0.26%,657421,7.14B
118,AAL,American Airlines Group Inc.,9.14B,0.75%,15794780,52.79B
119,BZ,Kanzhun Limited,9.05B,-1.11%,4305572,839.50M
120,ESLT,Elbit Systems Ltd.,9.01B,0.51%,23946,5.86B
121,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",8.87B,2.83%,45514,1.30B
122,CHRW,"C.H. Robinson Worldwide, Inc.",8.85B,2.18%,837312,17.60B
123,WWD,"Woodward, Inc.",8.79B,0.68%,76402,3.08B
124,WSC,WillScot Mobile Mini Holdings Corp.,8.78B,0.53%,572426,2.36B
125,DCI,"Donaldson Company, Inc.",8.66B,0.04%,152489,3.48B
126,PSN,Parsons Corporation,8.58B,1.63%,441677,5.44B
127,SSD,"Simpson Manufacturing Co., Inc.",8.57B,0.75%,94583,2.21B
128,ARMK,Aramark,8.56B,0.28%,1017962,18.66B
129,AGCO,AGCO Corporation,8.46B,2.89%,350297,14.41B
130,RHI,Robert Half International Inc.,8.46B,0.82%,314922,6.39B
131,MIDD,The Middleby Corporation,8.34B,1.00%,118227,4.04B
132,WCC,"WESCO International, Inc.",8.26B,1.33%,230503,22.39B
133,KBR,"KBR, Inc.",8.23B,0.44%,462126,6.96B
134,SITE,"SiteOne Landscape Supply, Inc.",7.99B,-0.08%,115036,4.30B
135,AYI,"Acuity Brands, Inc.",7.97B,0.05%,69859,3.89B
136,RBC,RBC Bearings Incorporated,7.78B,0.94%,96541,1.54B
137,OSK,Oshkosh Corporation,7.52B,1.67%,143906,9.66B
138,MSA,MSA Safety Incorporated,7.35B,0.21%,36983,1.79B
139,FCN,"FTI Consulting, Inc.",7.29B,-0.75%,109415,3.49B
140,IEP,Icahn Enterprises L.P.,7.28B,2.29%,556678,10.85B
141,AIT,"Applied Industrial Technologies, Inc.",7.16B,0.56%,124430,4.46B
142,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.15B,2.01%,38040,1.41B
143,AZEK,The AZEK Company Inc.,7.09B,0.75%,606006,1.39B
144,MTZ,"MasTec, Inc.",6.99B,-0.92%,388584,12.00B
145,GNRC,Generac Holdings Inc.,6.95B,0.01%,225656,4.02B
146,IBP,"Installed Building Products, Inc.",6.82B,0.50%,101728,2.78B
147,WTS,"Watts Water Technologies, Inc.",6.75B,0.77%,36021,2.06B
148,LSTR,"Landstar System, Inc.",6.72B,-0.06%,63159,5.30B
149,AAON,"AAON, Inc.",6.53B,1.09%,246715,1.17B
150,FLR,Fluor Corporation,6.43B,2.17%,721933,15.47B
151,CR,Crane Company,6.42B,1.30%,81073,2.42B
152,TNET,"TriNet Group, Inc.",6.31B,1.76%,96528,4.92B
153,ATKR,Atkore Inc.,6.29B,2.38%,147890,3.48B
154,CAE,CAE Inc.,6.24B,1.48%,359639,3.38B
155,ATI,ATI Inc.,6.17B,2.30%,787920,4.17B
156,HXL,Hexcel Corporation,6.14B,0.77%,619065,1.79B
157,GTLS,"Chart Industries, Inc.",6.10B,2.33%,181050,3.35B
158,ADT,ADT Inc.,6.09B,1.30%,3338427,4.98B
159,TKR,The Timken Company,6.07B,0.73%,175114,4.77B
160,DRS,"Leonardo DRS, Inc.",6.04B,-1.20%,295453,2.83B
161,ESAB,ESAB Corporation,6.01B,-0.65%,137508,2.77B
162,MLI,"Mueller Industries, Inc.",5.89B,-0.09%,282035,3.42B
163,GXO,"GXO Logistics, Inc.",5.87B,1.53%,484404,9.78B
164,FLS,Flowserve Corporation,5.78B,1.87%,535928,4.32B
165,FTAI,FTAI Aviation Ltd,5.74B,1.44%,116841,1.17B
166,LPX,Louisiana-Pacific Corporation,5.53B,2.52%,794607,2.58B
167,BECN,"Beacon Roofing Supply, Inc.",5.51B,0.73%,160601,9.12B
168,MSM,"MSC Industrial Direct Co., Inc.",5.47B,0.62%,139322,4.01B
169,ZWS,Zurn Elkay Water Solutions Corporation,5.46B,0.25%,265003,1.53B
170,CWST,"Casella Waste Systems, Inc.",5.44B,0.79%,75655,1.26B
171,AWI,"Armstrong World Industries, Inc.",5.33B,0.64%,144448,1.30B
172,SPXC,"SPX Technologies, Inc.",5.28B,1.58%,52083,1.74B
173,MMS,"Maximus, Inc.",5.19B,-1.25%,59558,4.98B
